title,author,publisher,rating,language,image_link
The Book of Bihari Literature,Abhay K.,HarperCollins,3.4 out of 5 stars,English,"['https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/416ogx384pL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/511Q7vQB90L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61kLsXf2nwL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71XM121iBgL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71KliGPYxvL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71SLrxUk8NL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71yLHLX3ABL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31ABI2ZLcTL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61-q59WwFBL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51QSQxHWjYL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81jC51yBigL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81-7fhQebEL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31MpXqN+2xL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71Eg6ekimyS._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51GN8aIqs7L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31i7eZTI3FL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31Ve5c87EaL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/611Q+hmdpaL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/416o7Pam0rL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31YFhRQn84L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/812098qOJ9L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/711Qvc8gK2L._AC_UY218_.jpg']"
Meow Meow: The Incredible True Story of Baby Patankar,Srinath Rao,HarperCollins India,3.9 out of 5 stars,English,"['https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/416ogx384pL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/511Q7vQB90L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61kLsXf2nwL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71XM121iBgL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71KliGPYxvL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71SLrxUk8NL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71yLHLX3ABL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31ABI2ZLcTL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61-q59WwFBL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51QSQxHWjYL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81jC51yBigL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81-7fhQebEL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31MpXqN+2xL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71Eg6ekimyS._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51GN8aIqs7L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31i7eZTI3FL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31Ve5c87EaL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/611Q+hmdpaL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/416o7Pam0rL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31YFhRQn84L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/812098qOJ9L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/711Qvc8gK2L._AC_UY218_.jpg']"
Contemporary Fiction (Cambridge Contexts in Literature),Pamela Bickley,Cambridge University Press,3.9 out of 5 stars,English,"['https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/416ogx384pL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/511Q7vQB90L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61kLsXf2nwL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71XM121iBgL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71KliGPYxvL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71SLrxUk8NL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71yLHLX3ABL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31ABI2ZLcTL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61-q59WwFBL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51QSQxHWjYL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81jC51yBigL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81-7fhQebEL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31MpXqN+2xL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71Eg6ekimyS._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51GN8aIqs7L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31i7eZTI3FL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31Ve5c87EaL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/611Q+hmdpaL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/416o7Pam0rL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31YFhRQn84L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/812098qOJ9L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/711Qvc8gK2L._AC_UY218_.jpg']"
The Cambridge Companion to Science Fiction (Cambridge Companions to Literature),Edward James,Cambridge University Press,4.5 out of 5 stars,English,"['https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/416ogx384pL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/511Q7vQB90L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61kLsXf2nwL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71XM121iBgL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71KliGPYxvL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71SLrxUk8NL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71yLHLX3ABL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31ABI2ZLcTL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61-q59WwFBL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51QSQxHWjYL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81jC51yBigL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81-7fhQebEL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31MpXqN+2xL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71Eg6ekimyS._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51GN8aIqs7L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31i7eZTI3FL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31Ve5c87EaL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/611Q+hmdpaL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/416o7Pam0rL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31YFhRQn84L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/812098qOJ9L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/711Qvc8gK2L._AC_UY218_.jpg']"
"Contemporary American Literature Poetry, Fiction, Drama and",Ed. R. Bhongle,Atlantic,2.7 out of 5 stars,English,"['https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/416ogx384pL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/511Q7vQB90L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61kLsXf2nwL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71XM121iBgL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71KliGPYxvL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71SLrxUk8NL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71yLHLX3ABL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31ABI2ZLcTL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61-q59WwFBL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51QSQxHWjYL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81jC51yBigL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81-7fhQebEL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31MpXqN+2xL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71Eg6ekimyS._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51GN8aIqs7L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31i7eZTI3FL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31Ve5c87EaL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/611Q+hmdpaL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/416o7Pam0rL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31YFhRQn84L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/812098qOJ9L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/711Qvc8gK2L._AC_UY218_.jpg']"
The Cambridge Companion to Gothic Fiction (Cambridge Companions to Literature),Jerrold E. Hogle,Cambridge University Press,4.4 out of 5 stars,English,"['https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/416ogx384pL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/511Q7vQB90L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61kLsXf2nwL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71XM121iBgL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71KliGPYxvL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71SLrxUk8NL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71yLHLX3ABL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31ABI2ZLcTL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61-q59WwFBL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51QSQxHWjYL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81jC51yBigL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81-7fhQebEL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31MpXqN+2xL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71Eg6ekimyS._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51GN8aIqs7L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31i7eZTI3FL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31Ve5c87EaL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/611Q+hmdpaL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/416o7Pam0rL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31YFhRQn84L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/812098qOJ9L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/711Qvc8gK2L._AC_UY218_.jpg']"
Frankenstein (Deluxe Hardbound Edition),Mary Shelley,Fingerprint Publishing!,3.8 out of 5 stars,English,"['https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/416ogx384pL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/511Q7vQB90L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61kLsXf2nwL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71XM121iBgL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71KliGPYxvL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71SLrxUk8NL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71yLHLX3ABL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31ABI2ZLcTL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61-q59WwFBL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51QSQxHWjYL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81jC51yBigL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81-7fhQebEL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31MpXqN+2xL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71Eg6ekimyS._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51GN8aIqs7L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31i7eZTI3FL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31Ve5c87EaL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/611Q+hmdpaL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/416o7Pam0rL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31YFhRQn84L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/812098qOJ9L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/711Qvc8gK2L._AC_UY218_.jpg']"
Sybil or the Two Nations: A tale of romanticism in a world of dirty politics & class discrimination.,Benjamin Disraeli,Edugorilla Community Pvt.Ltd,3.9 out of 5 stars,English,"['https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/416ogx384pL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/511Q7vQB90L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61kLsXf2nwL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71XM121iBgL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71KliGPYxvL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71SLrxUk8NL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71yLHLX3ABL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31ABI2ZLcTL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61-q59WwFBL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51QSQxHWjYL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81jC51yBigL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81-7fhQebEL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31MpXqN+2xL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71Eg6ekimyS._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51GN8aIqs7L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31i7eZTI3FL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31Ve5c87EaL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/611Q+hmdpaL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/416o7Pam0rL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31YFhRQn84L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/812098qOJ9L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/711Qvc8gK2L._AC_UY218_.jpg']"
The Best of American Literature - Box Set of 4 Books,F. Scott Fitzgerald,Fingerprint Publishing,5.0 out of 5 stars,English,"['https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/416ogx384pL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/511Q7vQB90L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61kLsXf2nwL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71XM121iBgL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71KliGPYxvL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71SLrxUk8NL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71yLHLX3ABL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31ABI2ZLcTL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61-q59WwFBL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51QSQxHWjYL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81jC51yBigL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81-7fhQebEL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31MpXqN+2xL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71Eg6ekimyS._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51GN8aIqs7L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31i7eZTI3FL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31Ve5c87EaL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/611Q+hmdpaL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/416o7Pam0rL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31YFhRQn84L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/812098qOJ9L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/711Qvc8gK2L._AC_UY218_.jpg']"
