title,author,publisher,rating,language,image_link
Attack on Titan Vol. 1,Hajime Isayama,Kodansha Comics,4.8 out of 5 stars,English,"['https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81GgWmcj+jL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71QYLrc-IQL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/811v269UbxL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81WnIx7M5XL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71flBB1ohVL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91F-m3Zm1xL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/518M3v5WKVL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91Ir6asZe7L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71x-bApY9kL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71yeEEnhTfL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71820ogX94L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71gDi1VeUtS._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51uWQfEYayL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/818LlxN7FUL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/A1dZnPsJdFL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81WfFNY8CLS._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71NbmdXUhfL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61Zy+DNvRvL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51azKA4hkUL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81SzOQufW1L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71+Nez0GgAL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61gCUkdUTBL._AC_UY218_.jpg']"
Always,S. Yumi Yamamoto,Sophia Yamamoto,4.1 out of 5 stars,English,"['https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81GgWmcj+jL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71QYLrc-IQL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/811v269UbxL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81WnIx7M5XL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71flBB1ohVL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91F-m3Zm1xL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/518M3v5WKVL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91Ir6asZe7L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71x-bApY9kL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71yeEEnhTfL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71820ogX94L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71gDi1VeUtS._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51uWQfEYayL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/818LlxN7FUL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/A1dZnPsJdFL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81WfFNY8CLS._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71NbmdXUhfL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61Zy+DNvRvL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51azKA4hkUL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81SzOQufW1L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71+Nez0GgAL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61gCUkdUTBL._AC_UY218_.jpg']"
Color BTS! The Most Beautiful BTS Coloring Book For ARMY,Kpop-Ftw Print,Tee Books,4.4 out of 5 stars,English,"['https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81GgWmcj+jL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71QYLrc-IQL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/811v269UbxL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81WnIx7M5XL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71flBB1ohVL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91F-m3Zm1xL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/518M3v5WKVL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91Ir6asZe7L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71x-bApY9kL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71yeEEnhTfL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71820ogX94L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71gDi1VeUtS._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51uWQfEYayL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/818LlxN7FUL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/A1dZnPsJdFL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81WfFNY8CLS._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71NbmdXUhfL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61Zy+DNvRvL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51azKA4hkUL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81SzOQufW1L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71+Nez0GgAL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61gCUkdUTBL._AC_UY218_.jpg']"
"Death Note Black Edition, Vol. 6 (6)",Tsugumi Ohba,VIZ Media LLC,4.9 out of 5 stars,English,"['https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81GgWmcj+jL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71QYLrc-IQL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/811v269UbxL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81WnIx7M5XL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71flBB1ohVL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91F-m3Zm1xL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/518M3v5WKVL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91Ir6asZe7L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71x-bApY9kL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71yeEEnhTfL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71820ogX94L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71gDi1VeUtS._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51uWQfEYayL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/818LlxN7FUL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/A1dZnPsJdFL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81WfFNY8CLS._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71NbmdXUhfL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61Zy+DNvRvL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51azKA4hkUL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81SzOQufW1L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71+Nez0GgAL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61gCUkdUTBL._AC_UY218_.jpg']"
Shine of the Moon: A Graphic Novel,John Lawry,John Lawry Studio & Gallery,Not Available,English,"['https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81GgWmcj+jL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71QYLrc-IQL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/811v269UbxL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81WnIx7M5XL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71flBB1ohVL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91F-m3Zm1xL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/518M3v5WKVL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91Ir6asZe7L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71x-bApY9kL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71yeEEnhTfL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71820ogX94L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71gDi1VeUtS._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51uWQfEYayL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/818LlxN7FUL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/A1dZnPsJdFL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81WfFNY8CLS._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71NbmdXUhfL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61Zy+DNvRvL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51azKA4hkUL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81SzOQufW1L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71+Nez0GgAL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61gCUkdUTBL._AC_UY218_.jpg']"
My Awesome Comic Book: Write and Illustrate Your Own Comic Book (Awesome Comic Sketchbooks),Awesome Comic Book Creator,Awesome Comic Sketchbooks,4.6 out of 5 stars,English,"['https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81GgWmcj+jL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71QYLrc-IQL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/811v269UbxL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81WnIx7M5XL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71flBB1ohVL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91F-m3Zm1xL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/518M3v5WKVL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91Ir6asZe7L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71x-bApY9kL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71yeEEnhTfL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71820ogX94L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71gDi1VeUtS._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51uWQfEYayL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/818LlxN7FUL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/A1dZnPsJdFL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81WfFNY8CLS._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71NbmdXUhfL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61Zy+DNvRvL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51azKA4hkUL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81SzOQufW1L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71+Nez0GgAL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61gCUkdUTBL._AC_UY218_.jpg']"
Dei Ex Machina: Fragility 1: Undertow,Zumie,,4.0 out of 5 stars,English,"['https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81GgWmcj+jL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71QYLrc-IQL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/811v269UbxL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81WnIx7M5XL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71flBB1ohVL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91F-m3Zm1xL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/518M3v5WKVL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91Ir6asZe7L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71x-bApY9kL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71yeEEnhTfL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71820ogX94L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71gDi1VeUtS._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51uWQfEYayL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/818LlxN7FUL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/A1dZnPsJdFL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81WfFNY8CLS._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71NbmdXUhfL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61Zy+DNvRvL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51azKA4hkUL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81SzOQufW1L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71+Nez0GgAL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61gCUkdUTBL._AC_UY218_.jpg']"
