title,author,publisher,rating,language,image_link
The Last Sanctifier: An Epic Fantasy Adventure (Aeonica Book 3),David Musk,,Not Available,English,"['https://m.media-amazon.com/images/I/71mSgXoPXaL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/815Y0yCuzYL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/81v2Bseg-EL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/91GI2NauS2L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/81bnBiD000L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/910DohbFPwL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/914C8TH9WpL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/71JJ-xiiMPL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/71i7sS6EiDL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/41EJHoF+AbL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/71CxOupLz-L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/91stCRN6-DL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/91PW8pflEcL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/71-EMGKWHpL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/81DmfiF9nsL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/71JXNTdRoKL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/813uPMOnskL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/71g2ednj0JL._AC_UY218_.jpg']"
Second Time's A Charm: A Second Chance Contemporary Romance Anthology (Romance Café Collection Book 28),Sofia Aves,Romance Cafe Publishing,Not Available,English,"['https://m.media-amazon.com/images/I/71mSgXoPXaL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/815Y0yCuzYL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/81v2Bseg-EL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/91GI2NauS2L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/81bnBiD000L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/910DohbFPwL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/914C8TH9WpL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/71JJ-xiiMPL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/71i7sS6EiDL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/41EJHoF+AbL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/71CxOupLz-L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/91stCRN6-DL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/91PW8pflEcL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/71-EMGKWHpL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/81DmfiF9nsL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/71JXNTdRoKL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/813uPMOnskL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/71g2ednj0JL._AC_UY218_.jpg']"
You Can,George Matthew Adams,Fingerprint! Publishing,4.3 out of 5 stars,English,"['https://m.media-amazon.com/images/I/71mSgXoPXaL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/815Y0yCuzYL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/81v2Bseg-EL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/91GI2NauS2L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/81bnBiD000L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/910DohbFPwL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/914C8TH9WpL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/71JJ-xiiMPL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/71i7sS6EiDL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/41EJHoF+AbL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/71CxOupLz-L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/91stCRN6-DL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/91PW8pflEcL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/71-EMGKWHpL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/81DmfiF9nsL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/71JXNTdRoKL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/813uPMOnskL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/71g2ednj0JL._AC_UY218_.jpg']"
